user_id,primary_category_id,primary_segment,secondary_category_ids,secondary_segments,age_group,gender,country,preferred_device
U00047,158,Electronics Enthusiast,"166,29","Baby & Kids Shopper,Fashion Shopper",35-44,Female,US,desktop
U00048,87,Baby & Kids Shopper,"52,id","primary_segment,Beauty & Skincare Fan",45-54,Male,CA,mobile
U00049,66,Electronics Enthusiast,100,Fashion Shopper,45-54,Male,CA,desktop
U00050,3,Baby & Kids Shopper,28,Sports Enthusiast,35-44,Other,IN,tablet
U00051,33,Baby & Kids Shopper,"149,229,68","Fashion Shopper,Electronics Enthusiast,Baby & Kids Shopper",18-24,Other,CA,desktop
U00052,179,Pet Owner,142,Beauty & Skincare Fan,25-34,Male,CA,tablet
U00053,224,Baby & Kids Shopper,"65,172,207","Electronics Enthusiast,Baby & Kids Shopper,Electronics Enthusiast",25-34,Male,UK,tablet
U00054,181,Pet Owner,80,Electronics Enthusiast,45-54,Female,IN,desktop
U00055,46,Beauty & Skincare Fan,160,Baby & Kids Shopper,35-44,Other,UK,desktop
U00056,245,Gamer,"167,97","Baby & Kids Shopper,Home Decorator",35-44,Other,UK,mobile
U00057,124,Baby & Kids Shopper,"79,81","Photographer,Electronics Enthusiast",55+,Female,AU,tablet
U00058,159,Beauty & Skincare Fan,205,Baby & Kids Shopper,25-34,Male,CA,desktop
U00059,216,Baby & Kids Shopper,105,Traveler,35-44,Other,AU,tablet
U00060,74,Electronics Enthusiast,"259,52,113","Beauty & Skincare Fan,Cyclist,Electronics Enthusiast",55+,Female,CA,mobile
U00061,106,Outdoor Adventurer,78,Electronics Enthusiast,45-54,Other,IN,mobile
U00062,212,Baby & Kids Shopper,"43,83,242","Baby & Kids Shopper,Electronics Enthusiast,Baby & Kids Shopper",55+,Female,AU,desktop
U00063,9,DIY Crafter,"149,21,107","Car Enthusiast,Baby & Kids Shopper,Electronics Enthusiast",35-44,Female,IN,mobile
U00064,44,Baby & Kids Shopper,"124,55,101","Photographer,Traveler,Baby & Kids Shopper",25-34,Other,CA,mobile
U00065,88,Baby & Kids Shopper,"251,26","Car Enthusiast,Baby & Kids Shopper",35-44,Female,IN,desktop
U00066,183,Baby & Kids Shopper,"163,98","Fashion Shopper,Beauty & Skincare Fan",18-24,Female,UK,desktop
U00067,270,Baby & Kids Shopper,"223,234","Baby & Kids Shopper,Baby & Kids Shopper",25-34,Other,IN,desktop
U00068,252,Baby & Kids Shopper,55,Photographer,45-54,Male,UK,mobile
U00069,161,Baby & Kids Shopper,"17,121,82","Car Enthusiast,Electronics Enthusiast,Fashion Shopper",55+,Female,US,mobile
U00070,1,DIY Crafter,"53,id","primary_segment,Beauty & Skincare Fan",55+,Female,IN,mobile
U00071,95,Baby & Kids Shopper,"16,10,152","Photographer,Car Enthusiast,Baby & Kids Shopper",18-24,Male,IN,desktop
U00072,222,Electronics Enthusiast,9,DIY Crafter,55+,Female,CA,mobile
U00073,135,Baby & Kids Shopper,254,Gamer,18-24,Female,UK,desktop
U00074,237,Baby & Kids Shopper,"252,68","Fashion Shopper,Baby & Kids Shopper",18-24,Other,UK,desktop
U00075,265,Baby & Kids Shopper,"241,219,99","Traveler,Baby & Kids Shopper,Baby & Kids Shopper",18-24,Male,US,desktop
U00076,270,Baby & Kids Shopper,13,Home Decorator,45-54,Male,UK,mobile
U00077,156,Foodie,"143,255,172","Electronics Enthusiast,Baby & Kids Shopper,Gamer",25-34,Male,IN,mobile
U00078,262,Baby & Kids Shopper,"68,64,159","Electronics Enthusiast,Fashion Shopper,Beauty & Skincare Fan",18-24,Female,US,desktop
U00079,237,Baby & Kids Shopper,83,Electronics Enthusiast,35-44,Male,IN,tablet
U00080,28,Sports Enthusiast,"32,182,173","Baby & Kids Shopper,Home Decorator,Baby & Kids Shopper",55+,Female,CA,desktop
U00081,136,Sports Enthusiast,"184,58,163","Electronics Enthusiast,Beauty & Skincare Fan,Baby & Kids Shopper",45-54,Other,US,tablet
U00082,220,Baby & Kids Shopper,"130,200,48","Beauty & Skincare Fan,Home Decorator,Sports Enthusiast",25-34,Male,UK,mobile
U00083,232,Baby & Kids Shopper,"133,167","Baby & Kids Shopper,Home Decorator",25-34,Male,CA,tablet
U00084,226,Baby & Kids Shopper,"54,91,74","Electronics Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",45-54,Female,CA,mobile
U00085,15,Car Enthusiast,"43,13","Home Decorator,Baby & Kids Shopper",18-24,Other,AU,desktop
U00086,191,Home Decorator,168,Home Decorator,45-54,Male,UK,mobile
U00087,221,Baby & Kids Shopper,"241,103","Fashion Shopper,Baby & Kids Shopper",55+,Other,CA,tablet
U00088,104,Fashion Shopper,"102,224,238","Fashion Shopper,Baby & Kids Shopper,Baby & Kids Shopper",25-34,Female,IN,desktop
U00089,39,Baby & Kids Shopper,42,Baby & Kids Shopper,25-34,Male,US,mobile
U00090,22,Electronics Enthusiast,204,Beauty & Skincare Fan,55+,Male,CA,desktop
U00091,109,Fashion Shopper,"234,131,95","Baby & Kids Shopper,Beauty & Skincare Fan,Baby & Kids Shopper",55+,Male,CA,tablet
U00092,197,Home Decorator,"219,196,208","Electronics Enthusiast,Baby & Kids Shopper,Baby & Kids Shopper",45-54,Male,IN,mobile
U00093,38,Baby & Kids Shopper,"23,31","Car Enthusiast,Baby & Kids Shopper",35-44,Female,CA,mobile
U00094,95,Baby & Kids Shopper,"83,213,155","Electronics Enthusiast,Electronics Enthusiast,Electronics Enthusiast",55+,Female,IN,tablet
U00095,197,Home Decorator,"145,58","Electronics Enthusiast,Electronics Enthusiast",35-44,Male,IN,mobile
U00096,104,Fashion Shopper,270,Baby & Kids Shopper,18-24,Male,CA,tablet
U00097,1,DIY Crafter,"218,141,148","Electronics Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",35-44,Other,US,mobile
U00098,220,Baby & Kids Shopper,"140,54,183","Electronics Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",35-44,Other,US,tablet
U00099,40,Baby & Kids Shopper,96,Baby & Kids Shopper,18-24,Male,IN,tablet
U00100,116,Fashion Shopper,"108,110,24","Car Enthusiast,Fashion Shopper,Fashion Shopper",35-44,Female,AU,tablet
U00101,231,Baby & Kids Shopper,"198,45,36","Baby & Kids Shopper,Beauty & Skincare Fan,Sports Enthusiast",35-44,Male,UK,mobile
U00102,231,Baby & Kids Shopper,"128,197","Beauty & Skincare Fan,Home Decorator",25-34,Female,UK,tablet
U00103,145,Electronics Enthusiast,"171,236,248","Car Enthusiast,Car Enthusiast,Gamer",25-34,Male,US,tablet
U00104,143,Electronics Enthusiast,"53,131","Beauty & Skincare Fan,Beauty & Skincare Fan",18-24,Male,IN,desktop
U00105,12,Baby & Kids Shopper,38,Baby & Kids Shopper,55+,Male,US,tablet
U00106,42,Baby & Kids Shopper,"245,36,188","Baby & Kids Shopper,Electronics Enthusiast,Gamer",18-24,Male,CA,desktop
U00107,262,Baby & Kids Shopper,106,Outdoor Adventurer,25-34,Male,UK,desktop
U00108,208,Baby & Kids Shopper,"157,132,50","Beauty & Skincare Fan,Sports Enthusiast,DIY Crafter",18-24,Female,AU,mobile
U00109,254,Gamer,"261,183","Baby & Kids Shopper,Baby & Kids Shopper",55+,Female,AU,mobile
U00110,180,Pet Owner,"179,78","Electronics Enthusiast,Pet Owner",18-24,Female,US,mobile
U00111,248,Gamer,270,Baby & Kids Shopper,18-24,Female,US,tablet
U00112,145,Electronics Enthusiast,207,Electronics Enthusiast,45-54,Male,AU,mobile
U00113,8,Baby & Kids Shopper,"169,42","Baby & Kids Shopper,Beauty & Skincare Fan",35-44,Other,US,tablet
U00114,174,Home Decorator,"200,96","Baby & Kids Shopper,Sports Enthusiast",35-44,Other,AU,mobile
U00115,63,Electronics Enthusiast,"34,227","Baby & Kids Shopper,Photographer",25-34,Other,AU,mobile
U00116,34,Baby & Kids Shopper,31,Baby & Kids Shopper,18-24,Female,AU,desktop
U00117,68,Fashion Shopper,"18,77","Car Enthusiast,Electronics Enthusiast",35-44,Other,AU,tablet
U00118,192,Electronics Enthusiast,131,Beauty & Skincare Fan,35-44,Male,UK,mobile
U00119,58,Electronics Enthusiast,"42,167,237","Baby & Kids Shopper,Home Decorator,Baby & Kids Shopper",55+,Other,UK,mobile
U00120,222,Electronics Enthusiast,264,Baby & Kids Shopper,55+,Other,US,tablet
U00121,104,Fashion Shopper,"49,260,130","Beauty & Skincare Fan,Home Decorator,Baby & Kids Shopper",35-44,Male,UK,mobile
U00122,153,DIY Crafter,"180,219,57","Electronics Enthusiast,Pet Owner,Baby & Kids Shopper",25-34,Male,UK,desktop
U00123,124,Baby & Kids Shopper,"121,129,57","Electronics Enthusiast,Fashion Shopper,Baby & Kids Shopper",55+,Other,AU,desktop
U00124,49,Beauty & Skincare Fan,"112,118","Fashion Shopper,Fashion Shopper",35-44,Female,IN,desktop
U00125,170,Baby & Kids Shopper,"20,106","Beauty & Skincare Fan,Outdoor Adventurer",35-44,Female,CA,desktop
U00126,77,Electronics Enthusiast,234,Baby & Kids Shopper,45-54,Male,US,mobile
U00127,56,Electronics Enthusiast,"225,89,128","Baby & Kids Shopper,Beauty & Skincare Fan,Baby & Kids Shopper",55+,Other,US,tablet
U00128,223,Baby & Kids Shopper,"175,253,157","DIY Crafter,Baby & Kids Shopper,Gamer",55+,Other,IN,mobile
U00129,254,Gamer,"103,150,241","Fashion Shopper,Beauty & Skincare Fan,Baby & Kids Shopper",18-24,Other,CA,mobile
U00130,7,DIY Crafter,142,Beauty & Skincare Fan,25-34,Female,CA,desktop
U00131,240,Car Enthusiast,"234,25","Car Enthusiast,Baby & Kids Shopper",35-44,Other,CA,tablet
U00132,21,Car Enthusiast,"148,216,213","Electronics Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",18-24,Male,UK,desktop
U00133,187,Electronics Enthusiast,167,Home Decorator,55+,Other,US,tablet
U00134,108,Fashion Shopper,"224,48","Beauty & Skincare Fan,Baby & Kids Shopper",45-54,Other,US,mobile
U00135,49,Beauty & Skincare Fan,17,Car Enthusiast,55+,Other,CA,tablet
U00136,36,Baby & Kids Shopper,18,Car Enthusiast,45-54,Male,CA,desktop
U00137,73,Electronics Enthusiast,id,primary_segment,45-54,Female,US,mobile
U00138,5,Baby & Kids Shopper,"181,251,220","Pet Owner,Baby & Kids Shopper,Baby & Kids Shopper",25-34,Male,IN,tablet
U00139,72,Electronics Enthusiast,"222,73","Electronics Enthusiast,Electronics Enthusiast",18-24,Other,US,tablet
U00140,15,Car Enthusiast,"200,17","Car Enthusiast,Sports Enthusiast",45-54,Male,CA,desktop
U00141,203,Baby & Kids Shopper,"17,154,231","Car Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",18-24,Male,AU,tablet
U00142,245,Gamer,"72,182,46","Beauty & Skincare Fan,Electronics Enthusiast,Baby & Kids Shopper",18-24,Female,CA,desktop
U00143,3,Baby & Kids Shopper,133,Baby & Kids Shopper,55+,Female,UK,mobile
U00144,105,Traveler,"212,100,208","Fashion Shopper,Baby & Kids Shopper,Baby & Kids Shopper",25-34,Male,IN,desktop
U00145,148,Electronics Enthusiast,"110,63","Electronics Enthusiast,Fashion Shopper",18-24,Male,IN,tablet
U00146,235,Baby & Kids Shopper,"107,69","Electronics Enthusiast,Baby & Kids Shopper",25-34,Other,AU,mobile
U00147,46,Beauty & Skincare Fan,"227,223,162","Electronics Enthusiast,Baby & Kids Shopper,Photographer",35-44,Female,IN,tablet
U00148,204,Beauty & Skincare Fan,"95,69,216","Electronics Enthusiast,Baby & Kids Shopper,Baby & Kids Shopper",55+,Female,CA,desktop
U00149,151,Baby & Kids Shopper,"79,225,187","Photographer,Electronics Enthusiast,Baby & Kids Shopper",18-24,Male,CA,tablet
U00150,200,Sports Enthusiast,"212,237","Baby & Kids Shopper,Baby & Kids Shopper",45-54,Male,CA,mobile
U00151,90,Baby & Kids Shopper,165,Home Decorator,55+,Female,UK,mobile
U00152,2,Home Decorator,216,Baby & Kids Shopper,55+,Male,IN,tablet
U00153,240,Car Enthusiast,"210,1","DIY Crafter,Electronics Enthusiast",55+,Female,UK,mobile
U00154,239,Baby & Kids Shopper,"264,25","Car Enthusiast,Baby & Kids Shopper",25-34,Male,US,tablet
U00155,22,Electronics Enthusiast,"126,178","Beauty & Skincare Fan,Pet Owner",18-24,Male,IN,mobile
U00156,71,Electronics Enthusiast,233,Car Enthusiast,25-34,Other,UK,desktop
U00157,50,Beauty & Skincare Fan,35,Baby & Kids Shopper,55+,Male,CA,desktop
U00158,148,Electronics Enthusiast,242,Baby & Kids Shopper,45-54,Other,UK,tablet
U00159,14,Car Enthusiast,26,Car Enthusiast,55+,Female,CA,tablet
U00160,134,Beauty & Skincare Fan,95,Baby & Kids Shopper,35-44,Female,IN,mobile
U00161,108,Fashion Shopper,"253,191,16","Car Enthusiast,Home Decorator,Gamer",25-34,Male,US,mobile
U00162,66,Electronics Enthusiast,184,Baby & Kids Shopper,55+,Male,UK,mobile
U00163,168,Home Decorator,34,Baby & Kids Shopper,45-54,Female,IN,tablet
U00164,264,Baby & Kids Shopper,"186,256","Home Decorator,Gamer",25-34,Female,US,desktop
U00165,270,Baby & Kids Shopper,"3,206","Baby & Kids Shopper,Electronics Enthusiast",35-44,Other,IN,tablet
U00166,68,Fashion Shopper,42,Baby & Kids Shopper,18-24,Other,US,mobile
U00167,29,Baby & Kids Shopper,216,Baby & Kids Shopper,25-34,Female,UK,desktop
U00168,75,Electronics Enthusiast,"163,137","Baby & Kids Shopper,Beauty & Skincare Fan",25-34,Male,IN,mobile
U00169,259,Electronics Enthusiast,220,Baby & Kids Shopper,18-24,Male,IN,mobile
U00170,28,Sports Enthusiast,"6,205","Fashion Shopper,Baby & Kids Shopper",35-44,Male,UK,desktop
U00171,181,Pet Owner,"32,74,135","Baby & Kids Shopper,Electronics Enthusiast,Baby & Kids Shopper",35-44,Male,AU,mobile
U00172,45,Beauty & Skincare Fan,215,Home Decorator,18-24,Other,UK,desktop
U00173,224,Baby & Kids Shopper,17,Car Enthusiast,25-34,Male,UK,tablet
U00174,205,Baby & Kids Shopper,106,Outdoor Adventurer,18-24,Male,AU,mobile
U00175,233,Car Enthusiast,"213,49","Beauty & Skincare Fan,Electronics Enthusiast",55+,Male,US,tablet
U00176,36,Baby & Kids Shopper,7,DIY Crafter,25-34,Male,CA,mobile
U00177,81,Electronics Enthusiast,"7,253","DIY Crafter,Gamer",55+,Other,CA,tablet
U00178,222,Electronics Enthusiast,"21,175,186","Car Enthusiast,Baby & Kids Shopper,Home Decorator",25-34,Other,AU,tablet
U00179,189,Electronics Enthusiast,217,Baby & Kids Shopper,45-54,Other,AU,tablet
U00180,60,Electronics Enthusiast,"180,260","Pet Owner,Baby & Kids Shopper",55+,Male,IN,mobile
U00181,152,Baby & Kids Shopper,132,Sports Enthusiast,55+,Female,AU,desktop
U00182,73,Electronics Enthusiast,104,Fashion Shopper,45-54,Female,UK,desktop
U00183,33,Baby & Kids Shopper,80,Electronics Enthusiast,18-24,Male,IN,tablet
U00184,3,Baby & Kids Shopper,"12,140","Baby & Kids Shopper,Electronics Enthusiast",18-24,Other,US,desktop
U00185,99,Traveler,"26,225","Car Enthusiast,Baby & Kids Shopper",25-34,Female,UK,desktop
U00186,80,Electronics Enthusiast,132,Sports Enthusiast,18-24,Female,AU,mobile
U00187,242,Baby & Kids Shopper,"1,96","DIY Crafter,Baby & Kids Shopper",25-34,Male,CA,mobile
U00188,186,Home Decorator,"139,112,18","Car Enthusiast,Fashion Shopper,Electronics Enthusiast",35-44,Other,UK,mobile
U00189,125,Baby & Kids Shopper,19,Car Enthusiast,35-44,Female,UK,mobile
U00190,27,Car Enthusiast,"65,228,58","Electronics Enthusiast,Electronics Enthusiast,Outdoor Adventurer",18-24,Other,US,mobile
U00191,110,Fashion Shopper,90,Baby & Kids Shopper,55+,Other,IN,desktop
U00192,262,Baby & Kids Shopper,"214,22,70","Electronics Enthusiast,Electronics Enthusiast,Electronics Enthusiast",35-44,Other,UK,desktop
U00193,200,Sports Enthusiast,135,Baby & Kids Shopper,18-24,Other,US,mobile
U00194,24,Car Enthusiast,174,Home Decorator,55+,Female,AU,mobile
U00195,194,Electronics Enthusiast,45,Beauty & Skincare Fan,35-44,Male,US,desktop
U00196,239,Baby & Kids Shopper,"245,8,208","Baby & Kids Shopper,Baby & Kids Shopper,Gamer",45-54,Other,AU,tablet
U00197,249,Baby & Kids Shopper,"14,221,213","Car Enthusiast,Electronics Enthusiast,Baby & Kids Shopper",55+,Male,UK,mobile
U00198,251,Baby & Kids Shopper,"259,142","Beauty & Skincare Fan,Electronics Enthusiast",18-24,Female,UK,mobile
U00199,126,Beauty & Skincare Fan,256,Gamer,18-24,Other,UK,desktop
U00200,224,Baby & Kids Shopper,"33,122,195","Baby & Kids Shopper,Fashion Shopper,Gardener",18-24,Female,AU,desktop
U00201,48,Beauty & Skincare Fan,95,Baby & Kids Shopper,45-54,Other,CA,mobile
U00202,110,Fashion Shopper,53,Beauty & Skincare Fan,55+,Male,AU,tablet
U00203,51,Beauty & Skincare Fan,"145,265","Electronics Enthusiast,Baby & Kids Shopper",45-54,Male,UK,desktop
U00204,216,Baby & Kids Shopper,"120,196","Fashion Shopper,Electronics Enthusiast",55+,Male,AU,mobile
U00205,178,Pet Owner,9,DIY Crafter,45-54,Other,AU,mobile
U00206,60,Electronics Enthusiast,244,Baby & Kids Shopper,18-24,Male,AU,tablet
U00207,17,Car Enthusiast,173,Home Decorator,18-24,Male,UK,mobile
U00208,253,Gamer,179,Pet Owner,45-54,Other,IN,desktop
U00209,110,Fashion Shopper,193,Home Decorator,45-54,Other,US,desktop
U00210,16,Car Enthusiast,"21,7","DIY Crafter,Car Enthusiast",25-34,Male,CA,desktop
U00211,99,Traveler,"113,id","primary_segment,Cyclist",45-54,Other,CA,tablet
U00212,64,Electronics Enthusiast,"162,87,6","Fashion Shopper,Baby & Kids Shopper,Electronics Enthusiast",55+,Female,US,desktop
U00213,35,Baby & Kids Shopper,260,Baby & Kids Shopper,45-54,Female,IN,mobile
U00214,169,Beauty & Skincare Fan,"232,265","Baby & Kids Shopper,Baby & Kids Shopper",18-24,Male,AU,tablet
U00215,126,Beauty & Skincare Fan,145,Electronics Enthusiast,35-44,Other,US,tablet
U00216,83,Electronics Enthusiast,233,Car Enthusiast,55+,Female,IN,tablet
U00217,218,Baby & Kids Shopper,31,Baby & Kids Shopper,25-34,Male,UK,mobile
U00218,265,Baby & Kids Shopper,"89,243,75","Electronics Enthusiast,Baby & Kids Shopper,Baby & Kids Shopper",25-34,Male,UK,mobile
U00219,203,Baby & Kids Shopper,"64,140,173","Electronics Enthusiast,Electronics Enthusiast,Home Decorator",18-24,Female,AU,tablet
U00220,51,Beauty & Skincare Fan,39,Baby & Kids Shopper,18-24,Male,UK,mobile
U00221,143,Electronics Enthusiast,"18,178,141","Car Enthusiast,Electronics Enthusiast,Pet Owner",35-44,Male,US,tablet
U00222,112,Fashion Shopper,"3,144,208","Baby & Kids Shopper,Baby & Kids Shopper,Baby & Kids Shopper",35-44,Male,CA,tablet
U00223,134,Beauty & Skincare Fan,26,Car Enthusiast,35-44,Male,IN,desktop
U00224,100,Fashion Shopper,"65,154","Electronics Enthusiast,Electronics Enthusiast",18-24,Other,IN,mobile
U00225,145,Electronics Enthusiast,204,Beauty & Skincare Fan,45-54,Male,IN,tablet
U00226,187,Electronics Enthusiast,"1,211","DIY Crafter,Electronics Enthusiast",25-34,Other,UK,desktop
U00227,122,Fashion Shopper,90,Baby & Kids Shopper,25-34,Male,CA,mobile
U00228,187,Electronics Enthusiast,1,DIY Crafter,55+,Male,CA,desktop
U00229,40,Baby & Kids Shopper,118,Fashion Shopper,35-44,Female,US,desktop
U00230,160,Baby & Kids Shopper,"107,55","Photographer,Baby & Kids Shopper",25-34,Female,IN,tablet
U00231,192,Electronics Enthusiast,"207,193","Home Decorator,Electronics Enthusiast",35-44,Male,IN,tablet
U00232,114,Cyclist,"120,89,57","Electronics Enthusiast,Baby & Kids Shopper,Fashion Shopper",55+,Other,CA,tablet
U00233,88,Baby & Kids Shopper,194,Electronics Enthusiast,35-44,Other,AU,desktop
U00234,241,Baby & Kids Shopper,"128,43,263","Baby & Kids Shopper,Beauty & Skincare Fan,Gamer",45-54,Other,UK,tablet
U00235,254,Gamer,"2,56,91","Home Decorator,Electronics Enthusiast,Baby & Kids Shopper",18-24,Other,CA,tablet
U00236,30,Baby & Kids Shopper,39,Baby & Kids Shopper,18-24,Male,IN,tablet
U00237,184,Baby & Kids Shopper,"162,46,24","Car Enthusiast,Beauty & Skincare Fan,Electronics Enthusiast",35-44,Female,US,desktop
U00238,50,Beauty & Skincare Fan,154,Electronics Enthusiast,35-44,Male,CA,tablet
U00239,169,Beauty & Skincare Fan,"222,195","Gardener,Electronics Enthusiast",35-44,Other,UK,desktop
U00240,144,Baby & Kids Shopper,"102,114","Fashion Shopper,Cyclist",55+,Female,UK,tablet
U00241,237,Baby & Kids Shopper,"242,43,26","Car Enthusiast,Baby & Kids Shopper,Baby & Kids Shopper",18-24,Male,CA,mobile
U00242,157,DIY Crafter,210,Electronics Enthusiast,35-44,Male,IN,tablet
U00243,131,Beauty & Skincare Fan,"201,239","Home Decorator,Baby & Kids Shopper",25-34,Female,AU,desktop
U00244,181,Pet Owner,"39,157,196","Baby & Kids Shopper,DIY Crafter,Electronics Enthusiast",25-34,Male,UK,desktop
U00245,214,Electronics Enthusiast,220,Baby & Kids Shopper,45-54,Other,UK,mobile
U00246,95,Baby & Kids Shopper,232,Baby & Kids Shopper,45-54,Male,AU,tablet
U00247,231,Baby & Kids Shopper,"145,225,55","Photographer,Electronics Enthusiast,Baby & Kids Shopper",25-34,Other,US,mobile
U00248,176,Beauty & Skincare Fan,233,Car Enthusiast,45-54,Other,US,mobile
U00249,205,Baby & Kids Shopper,"75,122","Electronics Enthusiast,Fashion Shopper",55+,Other,IN,tablet
U00250,125,Baby & Kids Shopper,138,Home Decorator,45-54,Other,US,mobile
U00251,121,Fashion Shopper,183,Baby & Kids Shopper,55+,Female,AU,desktop
U00252,225,Baby & Kids Shopper,"41,30","Baby & Kids Shopper,Baby & Kids Shopper",18-24,Other,AU,mobile
U00253,191,Home Decorator,"128,46","Beauty & Skincare Fan,Beauty & Skincare Fan",18-24,Female,AU,mobile
U00254,135,Baby & Kids Shopper,"270,63,121","Electronics Enthusiast,Fashion Shopper,Baby & Kids Shopper",18-24,Female,US,desktop
U00255,9,DIY Crafter,36,Baby & Kids Shopper,25-34,Female,US,tablet
U00256,22,Electronics Enthusiast,"1,152,23","DIY Crafter,Car Enthusiast,Baby & Kids Shopper",55+,Other,CA,mobile
